acceptance_error,acceptance_value,bin_center_correction_error,bin_center_correction_value,cross_section_error,cross_section_value,data_error,data_value,gen_error,gen_value,model_cross_section_error,model_cross_section_value,q2_bin,q2_value,radiative_correction_error,radiative_correction_value,rec_error,rec_value,sector,w_bin,w_value
0.006427121351099584,0.19076195671940352,0.0,1.0257260410492643,5.1967137773863226e-05,0.0011180607676939392,149.3519333654573,22306.0,74.15524256584965,5499.0,0.0,0.000685538980178535,0,1.825,0.008628379378381451,0.4128159305591014,32.38826948140329,1049.0,0,0,1.1125
0.0037122297257607692,0.1583258190562068,0.0,1.00510507735896,6.198953678484705e-05,0.0018526638271415701,175.1485084150019,30677.0,115.3603051313579,13308.0,0.0,0.0013968514977023005,0,1.825,0.007594625431322253,0.5800503461296412,45.902069670114,2107.0,0,1,1.1375000000000002
0.00243547597288934,0.13862688361955583,0.0,1.0027413687907099,7.9515448991475e-05,0.003119091971672963,212.6522983651952,45221.0,163.12878348102765,26611.0,0.0,0.002660557394847274,0,1.825,0.006236166310399438,0.6942938376090981,60.73713855624086,3689.0,0,2,1.1625
0.0015600330289183462,0.11073075172645784,0.0,1.020556574453234,0.00011818473577776923,0.005726882819235469,257.5286391840721,66321.0,224.8043593883357,50537.0,0.0,0.004795828368514776,0,1.825,0.005075921850453091,0.7792540835857507,74.80641683706017,5596.0,0,3,1.1875
0.0012359785089021244,0.1034358143830391,0.0,1.0180843179062722,0.00013839943477228457,0.007770311457424579,289.92585258993375,84057.0,273.33678859604686,74713.0,0.0,0.006962826009839773,0,1.825,0.004437140209197466,0.828891659523624,87.90904390334364,7728.0,0,4,1.2125000000000001
0.001260600893367741,0.11181275486072939,0.0,0.9478762584130952,0.0001286851739604955,0.0076397712844812745,298.8946302629072,89338.0,279.6944761699809,78229.0,0.0,0.007049760315567255,0,1.825,0.00457915936879239,0.868996591613303,93.52539762011173,8747.0,0,5,1.2375
0.0014931290565483874,0.13344241030629994,0.0,0.9155728849236805,0.00010448780250853741,0.006237497388524729,295.0423698386386,87050.0,260.4649688537789,67842.0,0.0,0.005973392631858587,0,1.825,0.0050206134386984475,0.8865444899927658,95.14725429564429,9053.0,0,6,1.2625000000000002
0.0016660415264187923,0.1448819424689168,0.0,0.9236152977358084,9.559574098405915e-05,0.005559417198858527,290.23783350900345,84238.0,244.45654010478017,59759.0,0.0,0.005169494077563286,0,1.825,0.005475961801806545,0.9055331572362019,93.04837451562494,8658.0,0,7,1.2875
0.0017751449960307067,0.15204720443261135,0.0,0.9386485334196034,9.161212150395642e-05,0.005226177952496277,288.2793783814583,83105.0,235.77107541002565,55588.0,0.0,0.004797689151018858,0,1.825,0.005679947148171173,0.9046602632515119,91.93475947648963,8452.0,0,8,1.3125
0.0017456157973907436,0.14782155813368772,0.0,0.9505278920892455,9.714203549131879e-05,0.005490517844604872,291.34515612928936,84882.0,235.9703371188845,55682.0,0.0,0.004722602665424347,0,1.825,0.005783385937124094,0.9161903673220546,90.72485877641255,8231.0,0,9,1.3375000000000001
0.0017441820764276866,0.15206557035442028,0.0,0.9585581747702291,9.590410493489085e-05,0.005534470539487901,296.6782769263702,88018.0,239.97291513835472,57587.0,0.0,0.004842881113290787,0,1.825,0.005704633148208116,0.9199859980102436,93.57884376289333,8757.0,0,10,1.3625
0.0016990481781600335,0.1524635681075131,0.0,0.9638259954454943,9.74703684625351e-05,0.005799417129860398,304.09373554876134,92473.0,246.71238315090713,60867.0,0.0,0.005112628452479839,0,1.825,0.0056808255350819115,0.9367851870297575,96.33275663033837,9280.0,0,11,1.3875000000000002
0.0016719017221443957,0.15963518859662368,0.0,0.9673314126120495,9.599481925381098e-05,0.006033509416760915,317.38147393948503,100731.0,257.3441275801723,66226.0,0.0,0.005536719691008329,0,1.825,0.00539727137374849,0.9324754684039509,102.82023147221562,10572.0,0,12,1.4125
0.0015842154482458124,0.16049049993262363,0.0,0.9698227732168763,9.939547387902076e-05,0.006675241798449926,334.72675423395725,112042.0,272.41512439657237,74210.0,0.0,0.006193267647176981,0,1.825,0.005141143520203728,0.9426241339491916,109.13294644606641,11910.0,0,13,1.4375
0.0014403485742318937,0.1578971257389903,0.0,0.974229621083284,0.00011131813164190497,0.008070071050365063,365.05479040823445,133265.0,296.86192076451977,88127.0,0.0,0.007303949445486069,0,1.825,0.004736777125514348,0.9409170209106322,117.96185824239969,13915.0,0,14,1.4625000000000001
0.001258820868796888,0.15070633600760247,0.0,0.9965504970477923,0.00012885708299389704,0.01017178307625767,400.40229769570504,160322.0,330.81414721864604,109438.0,0.0,0.009093156084418297,0,1.825,0.00425807117312055,0.9435012606911554,128.42507543311004,16493.0,0,15,1.4875
0.0012049550517569186,0.15166704072217652,0.0,0.9847127915911918,0.00013180420164120296,0.010880650543306824,415.4371191889333,172588.0,346.8472286180185,120303.0,0.0,0.010015226900577545,0,1.825,0.00413644857142685,0.959124021125478,135.0777553855556,18246.0,0,16,1.5125000000000002
0.0013202317589678895,0.1657737612064145,0.0,0.9407760673388036,0.00011730384535715456,0.009679791271432087,409.65961480233807,167821.0,332.97747671576826,110874.0,0.0,0.009043224155902863,0,1.825,0.004344305474818057,0.9653738647780287,135.5728586406586,18380.0,0,17,1.5375
0.0014145620020814262,0.17608580124643702,0.0,0.9496053584846146,0.00010548832343966095,0.00861405980644046,398.31269123642045,158653.0,321.70638787565287,103495.0,0.0,0.008383275009691715,0,1.825,0.004489001931836619,0.9637674215564145,134.99629624548965,18224.0,0,18,1.5625
