run,charge,nfiles,charge_per_file
38085,257623768,22,11710171.272727273
38086,271108880,23,11787342.608695652
38087,40043688,4,10010922.0
38088,12544914,1,12544914.0
38089,266438086,22,12110822.090909092
38090,267730324,23,11640448.869565217
38091,288318734,24,12013280.583333334
38092,252359844,21,12017135.42857143
38093,262977618,22,11953528.090909092
38094,258558298,22,11752649.909090908
38095,131286018,11,11935092.545454545
38096,260293144,22,11831506.545454545
38097,279644172,24,11651840.5
38098,288352512,25,11534100.48
38099,263163408,22,11961973.090909092
38100,257983296,22,11726513.454545455
38111,1265265672,7,180752238.85714287
38112,1061958184,6,176993030.66666666
38114,70109240,6,11684873.333333334
38116,7560330,1,7560330.0
38117,270963286,22,12316513.0
38118,162759314,13,12519947.23076923
38119,260392994,22,11836045.181818182
38120,248428086,21,11829908.857142856
38121,263542246,22,11979193.0
38122,240964356,20,12048217.8
38131,206881008,17,12169471.05882353
38132,257714476,22,11714294.363636363
38133,253301812,21,12061991.047619049
38134,256702398,22,11668290.818181818
38135,253416026,21,12067429.80952381
38136,91882582,8,11485322.75
38137,113673196,10,11367319.6
38138,275050986,24,11460457.75
38139,251781576,22,11444617.090909092
38140,256876236,22,11676192.545454545
38141,249454610,22,11338845.909090908
38142,167704090,15,11180272.666666666
38143,275332734,24,11472197.25
38144,248134994,21,11815952.095238095
38145,35445070,4,8861267.5
38146,230263002,20,11513150.1
38172,248833280,22,11310603.636363637
38173,247091730,22,11231442.272727273
38174,241546410,22,10979382.272727273
38175,244607370,22,11118516.818181818
38176,243395798,22,11063445.363636363
38177,292124474,26,11235556.692307692
38178,39690326,4,9922581.5
38182,102151812,9,11350201.333333334
38183,245136282,20,12256814.1
38184,258738402,21,12320876.285714285
38185,242883894,21,11565899.714285715
38186,250432076,21,11925336.952380951
38187,98146196,8,12268274.5
38188,256510502,22,11659568.272727273
38189,263210186,22,11964099.363636363
38190,265243042,22,12056501.909090908
38191,249461472,20,12473073.6
38192,249307670,21,11871793.80952381
38193,15226230,2,7613115.0
38194,243820984,21,11610523.047619049
38195,245566432,21,11693639.61904762
38196,72140282,7,10305754.57142857
38197,154625518,14,11044679.857142856
38198,118898718,10,11889871.8
38199,255521104,22,11614595.636363637
38200,245188988,21,11675666.095238095
38201,292440776,25,11697631.04
38202,46832770,4,11708192.5
38203,205872846,18,11437380.333333334
38204,208517680,18,11584315.555555556
38205,90596960,8,11324620.0
38206,270502956,23,11760998.086956521
38207,243787218,21,11608915.142857144
38208,234969030,20,11748451.5
38209,266950198,23,11606530.347826088
38210,244340022,21,11635239.142857144
38211,258641758,22,11756443.545454545
38212,254325520,22,11560250.909090908
38213,243783040,21,11608716.19047619
38214,245997840,21,11714182.857142856
38215,281092208,24,11712175.333333334
38216,248256496,21,11821737.904761905
38217,251050232,22,11411374.181818182
38218,313460950,26,12056190.384615384
38219,277401136,23,12060918.956521738
38220,256753038,21,12226335.142857144
38221,55808792,5,11161758.4
38222,294837836,24,12284909.833333334
38223,268157370,22,12188971.363636363
38224,399288,1,399288.0
38225,301017228,25,12040689.12
38226,120556070,10,12055607.0
38263,246749360,2,123374680.0
38264,772915566,4,193228891.5
38265,237700914,19,12510574.421052631
38266,161043006,13,12387923.538461538
38267,572520980,3,190840326.66666666
38268,224059692,17,13179981.88235294
38269,0,1,0.0
38270,462970500,2,231485250.0
38271,253600894,20,12680044.7
38272,253107264,20,12655363.2
38273,220241782,18,12235654.555555556
38274,251391010,20,12569550.5
38275,250098790,20,12504939.5
38276,63369298,6,10561549.666666666
38277,263796892,21,12561756.761904761
38278,250157906,20,12507895.3
38281,24793162,2,12396581.0
38282,11989660,1,11989660.0
38283,253876868,20,12693843.4
38284,276412234,23,12017923.217391305
38285,76828866,7,10975552.285714285
38286,255607604,20,12780380.2
38287,20748944,2,10374472.0
38288,233463314,19,12287542.842105264
38289,266794134,21,12704482.57142857
38290,112583820,9,12509313.333333334
38300,180684164,15,12045610.933333334
38301,86829640,7,12404234.285714285
38302,273622086,21,13029623.142857144
38303,257686074,17,15158004.352941176
38304,106541532,9,11837948.0
38305,253990012,20,12699500.6
38306,240002736,19,12631722.94736842
38307,103929820,9,11547757.777777778
38308,866344,1,866344.0
38309,162804248,14,11628874.857142856
38310,244445710,20,12222285.5
38312,253608160,20,12680408.0
38313,125281954,10,12528195.4
38314,272203630,22,12372892.272727273
38315,297561506,24,12398396.083333334
38316,265781862,21,12656279.142857144
38317,253340412,21,12063829.142857144
38318,266077108,22,12094414.0
38320,305628680,25,12225147.2
38321,191167572,16,11947973.25
38322,204174784,17,12010281.411764706
38328,271080260,22,12321830.0
38329,249212494,19,13116447.05263158
38331,170912906,14,12208064.714285715
38332,8201752,1,8201752.0
38337,286128908,21,13625186.095238095
38338,338609900,25,13544396.0
38339,264343808,22,12015627.636363637
38340,281384200,23,12234095.652173912
38341,247318170,20,12365908.5
38342,236952752,19,12471197.47368421
38344,247057874,20,12352893.7
38346,245926374,20,12296318.7
38347,114052914,9,12672546.0
38350,248679192,20,12433959.6
38351,200292084,15,13352805.6
38352,171716586,12,14309715.5
38353,247013220,20,12350661.0
38354,247144984,20,12357249.2
38355,264156086,22,12007094.818181818
38356,247173554,20,12358677.7
38357,30529536,2,15264768.0
38358,15568808,2,7784404.0
38359,261293228,21,12442534.666666666
38360,246597298,20,12329864.9
38361,30850718,3,10283572.666666666
38363,21207684,2,10603842.0
38364,143749280,11,13068116.363636363
38365,250611014,20,12530550.7
38366,8152020,1,8152020.0
38368,27304396,1,27304396.0
38369,42655356,2,21327678.0
38377,19165428,2,9582714.0
38378,242307868,21,11538469.904761905
38379,242497802,21,11547514.38095238
38380,253013862,22,11500630.090909092
38381,254195470,22,11554339.545454545
38382,249441540,21,11878168.57142857
38383,247211916,21,11771996.0
38384,274210162,24,11425423.416666666
38385,260689390,22,11849517.727272727
38387,275153880,24,11464745.0
38388,260531650,22,11842347.727272727
38389,221683188,19,11667536.210526315
38390,186011398,16,11625712.375
38391,249677912,21,11889424.38095238
38392,244853306,21,11659681.238095239
38393,243387078,21,11589860.857142856
38394,256962898,22,11680131.727272727
38395,244825110,21,11658338.57142857
38396,243549620,21,11597600.952380951
38397,259600912,22,11800041.454545455
38398,231482860,20,11574143.0
38399,60322412,5,12064482.4
38400,112713484,10,11271348.4
38401,245755814,21,11702657.80952381
