,charge,filename,run,stub
159,12621450,clas_038322.A01,038322,01
160,13384410,clas_037691.A09,037691,09
161,10826978,clas_038473.A12,038473,12
162,10670170,clas_038671.A00,038671,00
163,13398908,clas_037700.A05,037700,05
164,13370252,clas_037702.A07,037702,07
165,13356456,clas_037782.A08,037782,08
166,12711556,clas_038273.A12,038273,12
167,10823178,clas_038745.A18,038745,18
168,6541418,clas_038350.A19,038350,19
169,10213810,clas_038530.A02,038530,02
170,11345060,clas_038717.A12,038717,12
171,11017896,clas_038722.A09,038722,09
172,13258300,clas_037772.A13,037772,13
173,11215024,clas_038654.A08,038654,08
174,162976154,clas_038588.A05,038588,05
175,13925038,clas_038268.A01,038268,01
176,12647096,clas_038339.A16,038339,16
177,12155142,clas_038081.A06,038081,06
178,12558144,clas_038318.A20,038318,20
179,12547708,clas_038322.A05,038322,05
180,177339942,clas_038587.A05,038587,05
181,12616042,clas_038356.A15,038356,15
182,4520398,clas_037680.A19,037680,19
183,10854902,clas_038648.A11,038648,11
184,8541466,clas_038668.A02,038668,02
185,12177510,clas_038207.A15,038207,15
186,10995662,clas_038624.A14,038624,14
187,13947758,clas_037685.A16,037685,16
188,10895188,clas_038737.A16,038737,16
189,13968940,clas_037674.A07,037674,07
190,10970886,clas_038685.A02,038685,02
191,12661492,clas_038184.A00,038184,00
192,12127092,clas_038441.A17,038441,17
193,12102980,clas_038090.A16,038090,16
194,11058708,clas_038748.A05,038748,05
195,11646144,clas_038614.A15,038614,15
196,12112258,clas_038141.A14,038141,14
197,11810210,clas_038606.A17,038606,17
198,12130898,clas_038097.A20,038097,20
199,10933476,clas_038460.A12,038460,12
200,12809590,clas_038328.A04,038328,04
201,11482420,clas_038211.A11,038211,11
202,12417614,clas_038214.A05,038214,05
203,12923058,clas_037747.A02,037747,02
204,13965814,clas_037699.A14,037699,14
205,10802046,clas_038537.A31,038537,31
206,12085564,clas_038195.A08,038195,08
207,12579850,clas_038284.A11,038284,11
208,12077472,clas_038381.A00,038381,00
209,11095364,clas_038735.A04,038735,04
210,12096366,clas_038365.A19,038365,19
211,11279170,clas_038544.A20,038544,20
212,12350652,clas_038090.A01,038090,01
213,12137614,clas_038090.A06,038090,06
214,11699586,clas_038646.A16,038646,16
215,13553320,clas_037698.A00,037698,00
216,12064916,clas_038318.A05,038318,05
217,10897162,clas_038455.A04,038455,04
218,13240164,clas_038188.A03,038188,03
219,12637822,clas_038047.A01,038047,01
220,10924712,clas_038497.A19,038497,19
221,10930342,clas_038512.A29,038512,29
222,11672136,clas_038199.A13,038199,13
223,10450364,clas_038524.A15,038524,15
224,11607534,clas_038562.A09,038562,09
225,13391234,clas_037745.A07,037745,07
226,11900038,clas_038379.A08,038379,08
227,12613494,clas_038286.A18,038286,18
228,4469522,clas_038288.A18,038288,18
229,12807818,clas_038266.A09,038266,09
230,11961616,clas_038185.A19,038185,19
231,12038032,clas_038091.A18,038091,18
232,10972738,clas_038573.A10,038573,10
233,13444868,clas_037849.A18,037849,18
