FILE, A, dA, STAT
146, 0.0139928, -0.0122302, 0.00797418
147, 0.0167803, -0.00944265, 0.00760899
148, 0.0144476, -0.0117754, 0.00820391
149, 0.02641, 0.000187018, 0.00699704
150, 0.0264679, 0.000244947, 0.00756541
151, 0.0240978, -0.00212519, 0.00781083
152, 0.0176043, -0.00861871, 0.00951125
153, 0.0226561, -0.00356687, 0.00938399
154, 0.0265866, 0.000363639, 0.00824827
155, 0.0248389, -0.00138407, 0.00646423
156, 0.0241793, -0.00204368, 0.00747042
157, 0.0206509, -0.00557214, 0.00971499
158, 0.0155734, -0.0106496, 0.00930368
159, 0.0133037, -0.0129193, 0.00965375
160, 0.0287084, 0.00248541, 0.00740716
161, 0.0318617, 0.00563875, 0.00790834
162, 0.0276824, 0.0014594, 0.0068268
163, 0.0257738, -0.000449201, 0.00739123
164, 0.0303408, 0.00411781, 0.00687754
165, 0.0222736, -0.00394939, 0.00731735
166, 0.0323859, 0.00616287, 0.00780719
167, 0.0253694, -0.000853605, 0.00695633
168, 0.0274846, 0.00126159, 0.00710103
169, 0.0263594, 0.0001364, 0.00720365
170, 0.0285828, 0.00235985, 0.00782343
171, 0.0229392, -0.00328385, 0.00819588
172, 0.0213862, -0.00483685, 0.00711213
173, 0.0276395, 0.00141648, 0.00756757
174, 0.0201069, -0.00611609, 0.00725125
175, 0.0200617, -0.00616131, 0.00852699
176, 0.022534, -0.003689, 0.00798778
177, 0.386302, 0.360079, 0.158884
178, 0.315132, 0.288909, 0.154684
179, 0.314638, 0.288415, 0.147074
180, 0.0260195, -0.000203511, 0.00817747
181, 0.0193676, -0.00685543, 0.00713337
182, 0.0236671, -0.00255586, 0.00816705
183, 0.0196759, -0.00654711, 0.00821424
184, 0.0218445, -0.00437852, 0.00766082
185, 0.0289002, 0.00267717, 0.00693875
186, 0.0216365, -0.00458653, 0.00657572
187, 0.0284233, 0.00220028, 0.008838
188, 0.0256185, -0.000604494, 0.00708469
189, 0.0413093, 0.0150863, 0.0159611
190, 0.0139304, -0.0122926, 0.0109891
191, 0.0195997, -0.00662331, 0.00700182
192, 0.0175674, -0.00865562, 0.00965094
193, 0.0204329, -0.00579011, 0.0100809
194, 0.0280597, 0.00183669, 0.00729175
195, 0.0311839, 0.00496092, 0.00743556
196, 0.0180099, -0.00821309, 0.00946133
197, 0.0298606, 0.00363759, 0.00768356
198, 0.0227624, -0.00346055, 0.00736938
199, 0.0133296, -0.0128934, 0.0118242
200, 0.0148449, -0.0113781, 0.0112274
201, 0.0133659, -0.0128571, 0.0116714
202, 0.00978303, -0.01644, 0.0114701
203, 0.0218374, -0.0043856, 0.0074541
204, 0.036906, 0.010683, 0.00868243
205, 0.0225456, -0.00367744, 0.00881579
206, 0.0297422, 0.0035192, 0.00720943
207, 0.0215836, -0.00463936, 0.00707338
208, 0.0201718, -0.00605116, 0.00890464
209, 0.016856, -0.00936698, 0.0093527
210, 0.0238225, -0.00240049, 0.00789337
211, 0.0238931, -0.00232995, 0.00934713
212, 0.0286109, 0.00238789, 0.0103394
213, 0.0236346, -0.00258843, 0.00893657
214, 0.425944, 0.399721, 0.142786
215, 0.0635767, 0.0373537, 0.0122847
216, 0.031704, 0.005481, 0.0083222
217, 0.0187659, -0.00745711, 0.00722829
218, 0.0232162, -0.00300682, 0.00650849
219, 0.0215909, -0.00463207, 0.00757203
220, 0.02327, -0.00295299, 0.00876718
221, 0.00562952, -0.0205935, 0.0111025
222, 0.0421803, 0.0159573, 0.0134918
223, 0.00998809, -0.0162349, 0.0113192
224, 0.352488, 0.326265, 0.144561
225, 0.244652, 0.218429, 0.153425
226, 0.382861, 0.356638, 0.151525
227, 0.497469, 0.471246, 0.148176
228, -0.0510099, -0.0772329, 0.0407039
229, 0.0367617, 0.0105387, 0.0159155
230, 0.0147239, -0.0114991, 0.00912224
231, 0.0280033, 0.00178028, 0.00757862
232, 0.020876, -0.00534695, 0.00870361
233, 0.0197321, -0.00649089, 0.00909588
234, 0.0118281, -0.0143949, 0.0109324
235, 0.0309667, 0.00474368, 0.00767473
236, 0.0230107, -0.00321233, 0.0090119
237, 0.0214019, -0.00482105, 0.0066826
238, 0.047909, 0.021686, 0.0112007
239, 0.204602, 0.178379, 0.14984
240, 0.0216492, -0.00457382, 0.00881774
241, 0.0240746, -0.00214842, 0.00855334
242, 0.0179805, -0.00824248, 0.0100464
243, 0.409414, 0.383191, 0.147786
244, 0.424791, 0.398568, 0.144259
246, 0.0383053, 0.0120823, 0.00872703
248, -0.00947943, -0.0357024, 0.0122111
249, 0.0207438, -0.00547917, 0.00879028
252, 0.0435735, 0.0173505, 0.0109627
253, 0.442994, 0.416771, 0.154491
254, 0.0473075, 0.0210845, 0.0160236
255, 0.484992, 0.458769, 0.144691
258, 0.0582543, 0.0320313, 0.0156894
259, -1.90841e-05, -0.0262421, 0
260, 0.0133646, -0.0128584, 0.0108856
261, 0.362711, 0.336488, 0.161084
262, 0.00551587, -0.0207071, 0.0228547
263, 0.00832965, -0.0178933, 0.00938852
264, 0.0157155, -0.0105075, 0.011694
265, 0.0336163, 0.00739328, 0.0134989
266, 0.070855, 0.044632, 0.0120435
267, 0.179586, 0.153363, 0.153483
269, 0.0380436, 0.0118206, 0.010869
270, 0.361774, 0.335551, 0.161521
271, 0.407755, 0.381532, 0.150466
272, 0.0078129, -0.0184101, 0.040371
273, 0.0219053, -0.00431769, 0.00899652
274, 0.0256912, -0.000531819, 0.00919757
275, 0.357516, 0.331293, 0.153826
278, 0.304873, 0.27865, 0.154448
279, 0.018383, -0.00784, 0.0117222
280, -0.000246777, -0.0264698, 0
282, 0.233538, 0.207315, 0.228255
283, -0.00104361, -0.0272666, 0.0122103
284, 0.0189219, -0.00730105, 0.00721466
285, 0.285328, 0.259105, 0.16133
286, 0.47471, 0.448487, 0.145682
287, 0.023469, -0.00275397, 0.0163555
288, 0.048845, 0.022622, 0.0161563
289, 0.046474, 0.020251, 0.152573
290, 0.0269831, 0.000760083, 0.00937132
291, 0.486266, 0.460043, 0.14955
292, 0.451409, 0.425186, 0.147595
293, 0.333354, 0.307131, 0.152667
294, 0.375018, 0.348795, 0.143381
295, 0.00011819, -0.0261048, 0
299, -0.000373702, -0.0265967, 0
300, -0.000345612, -0.0265686, 0.150096
302, 0.0354386, 0.00921557, 0.0402123
306, 0.238745, 0.212522, 0.159315
307, 0.425222, 0.398999, 0.144719
308, 0.00904126, -0.0171817, 0.0287443
311, 0.416057, 0.389834, 0.146768
314, 0.290205, 0.263982, 0.154216
315, 0.0660951, 0.0398721, 0.023224
316, 0.384512, 0.358289, 0.15494
317, 0.278593, 0.25237, 0.155815
320, 0.0543488, 0.0281258, 0.0140791
321, 0.106242, 0.0800187, 0.0288665
324, 0.402202, 0.375979, 0.156263
325, 0.102174, 0.0759507, 0.0291599
326, 0.413146, 0.386923, 0.145274
327, 0.223079, 0.196856, 0.0404491
328, 0.0529665, 0.0267435, 0.0140223
331, -0.000164005, -0.026387, 0
332, -7.95592e-05, -0.0263026, 0
334, 0.044921, 0.018698, 0.0398428
336, 0.345769, 0.319546, 0.15493
337, 0.313632, 0.287409, 0.155974
338, 0.304919, 0.278696, 0.149852
339, 0.262766, 0.236543, 0.160285
340, 0.0410158, 0.0147928, 0.015854
341, 0.0265685, 0.000345535, 0.0162233
342, 0.392921, 0.366698, 0.154932
343, 0.330522, 0.304299, 0.152831
344, 0.0168818, -0.00934124, 0.0113526
345, 0.0257561, -0.000466865, 0.00946433
346, 0.355884, 0.329661, 0.148284
348, 0.0594185, 0.0331955, 0.0234723
349, 0.0400423, 0.0138193, 0.014239
350, 0.0251164, -0.00110657, 0.00730211
351, 0.0260298, -0.000193188, 0.00732053
